guid,date,president,field_strike_type,village,province,leader_names,leaders_desc,militants_low,militants_high,civilians_low,civilians_high,unknown_low,unknown_high,total_low,total_high,total_avg,nation_responsible,target,target_org,notes,sources,lat,lon
042 2012,2012-08-28T00:00:00Z,Obama,Drone Strike,Unknown,Hadramaut,,,2,2,,,,,2,2,2,United States,Vehicle,AQAP,,Reuters: http://www.reuters.com/article/2012/08/29/us-yemen-drone-idUSBRE87S1B920120829l<br>AP: http://seattletimes.com/html/nationworld/2019008263_apmlyemen.html<br>Yemen Post: http://yemenpost.net/Detail123456789.aspx?ID=3&SubID=5898&MainCat=3,16.04580465,46.74682312
041 2012,2012-08-07T00:00:00Z,Obama,Drone Strike,Zoukaika ,Hadramaut,,,2,3,,,,,2,3,3,United States,Vehicle,AQAP,,AFP: http://www.google.com/hostednews/afp/article/ALeqM5jOtMp4ESBBcp_RUJKJZhvaLdYAcg?docId=CNG.4e507ac27365d5bcc068b5b683a794c9.81<br>ABC News: http://abcnews.go.com/International/wireStory/yemeni-leader-cuts-powers-presidents-son-16942684<br>AP: http://usatoday30.usatoday.com/news/world/story/2012-08-07/yemen-drone-qaeda/56853010/1<br>Reuters: http://www.reuters.com/article/2012/08/07/yemen-army-idUSL6E8J78LY20120807,16.1196991,49.16930847
040 2012,2012-08-06T00:00:00Z,Obama,Drone Strike,Rada'a,Al Bayda,Abdullah Awad al-Masri,al-Qaeda bomb maker,7,7,,,,,7,7,7,United States,Vehicle,AQAP,,AFP: http://www.google.com/hostednews/afp/article/ALeqM5jOtMp4ESBBcp_RUJKJZhvaLdYAcg?docId=CNG.4e507ac27365d5bcc068b5b683a794c9.81<br>AP: http://usatoday30.usatoday.com/news/world/story/2012-08-07/yemen-drone-qaeda/56853010/1<br>Yemen Post: http://yemenpost.net/Detail123456789.aspx?ID=3&SubID=5832&MainCat=3,14.43201145,44.87640075
039 2012,2012-08-04T00:00:00Z,Obama,Drone Strike,Al Qatn,Hadramaut,,,3,5,,,,,3,5,4,United States,Vehicle,AQAP,,"The News: http://www.thenews.com.pk/Todays-News-1-124979-Qaeda-suicide-bombing-kills-45-in-south-Yemen<br>The Telegraph: http://www.dailytelegraph.com.au/news/breaking-news/yemen-drone-strike-kills-five/story-e6freuz9-1226443147741<br>The Chicago Tribune: http://www.chicagotribune.com/news/sns-rt-us-yemen-attackbre8730o2-20120804,0,7474449.story<br>The New York Times: http://www.nytimes.com/2012/08/05/world/asia/in-yemen-suicide-bomber-kills-at-least-20.html<br>AFP: http://www.naharnet.com/stories/en/49001-qaida-suicide-bombing-kills-42-in-yemen<br>BBC: http://www.bbc.co.uk/news/world-middle-east-19132096<br>AP: http://www.cbsnews.com/8301-202_162-57486878/yemen-officials-suicide-bomb-kills-15-at-funeral/<br>Reuters: http://www.reuters.com/article/2012/08/04/us-yemen-attack-idUSBRE8730O220120804",15.82342868,48.44924624
038 2012,2012-07-03T00:00:00Z,Obama,Drone Strike,Bayhan,Shabwah,Fahd Saleh al-Anjaf al-Harithi; Hassan Ali al-Ishaqi,Senior al-Qaeda figures,2,5,,,,,2,5,4,United States,Vehicle,AQAP,,Reuters: http://www.reuters.com/article/2012/07/03/us-yemen-arrests-idUSBRE8620MK20120703<br>Yemen Post: http://yemenpost.net/Detail123456789.aspx?ID=3&SubID=5642<br>AP: http://www.washingtonpost.com/world/middle_east/yemen-official-says-suspected-us-drone-strike-kills-2-militants-in-a-car-in-southern-yemen/2012/07/03/gJQAtuEpKW_story.html<br>AFP: http://www.naharnet.com/stories/en/45527-yemen-air-strike-kills-3-qaida-militants,15.08572836,45.22182921
037 2012,2012-06-25T00:00:00Z,Obama,Drone Strike,Aden,Adan,,,3,3,,,,,3,3,3,United States,Vehicle,AQAP,"Xinhua post claims that 3 militants, including a senior militant commander, were killed by a US drone strike in Aden. According to Xinhua, the drone hit a small pick-up truck. Yemen Post says that there is no confirmation about how many people died and quotes BBC on this. It also states that the drone hit two vehicles rather than a pick-up truck.<br>",Yemen Post: http://yemenpost.net/Detail123456789.aspx?ID=3&SubID=5588&MainCat=3<br>Xinhua: http://news.xinhuanet.com/english/world/2012-06/25/c_131675321.htm,12.8,45.033333
036 2012,2012-06-13T00:00:00Z,Obama,Drone Strike,Azzan,Shabwah,,,27,30,,,,,27,30,29,United States,Unclear,AQAP,Security officials told CNN that at least 14 drone strikes were carried out over the previous two days. Reporting on U.S. drone strikes has been difficult with the Yemeni military simultaneously waging an air and ground war on suspected al-Qaeda militants.<br>,CNN: http://edition.cnn.com/2012/06/13/world/meast/yemen-drone-strikes/<br>AJE: http://www.aljazeera.com/news/middleeast/2012/06/2012613814551647.html<br>Reuters: http://www.reuters.com/article/2012/06/13/us-yemen-violence-idUSBRE85C0J020120613<br>Yemen Post: http://yemenpost.net/Detail123456789.aspx?ID=3&SubID=5542,14.32492434,47.43690185
035 2012,2012-06-13T00:00:00Z,Obama,Drone Strike,Azzan,Shabwah,,,9,9,,,,,9,9,9,United States,House,AQAP,,AP: http://www.argusobserver.com/news/ap_world/yemen-missile-attack-kills-nine-al-qaida-fighters/article_d4b3f5a2-b582-11e1-8f2a-001a4bcf887a.html<br>Dawn: http://dawn.com/2012/06/13/us-drone-strike-against-qaeda-in-yemen-kills-nine-source/<br>BBC: http://www.bbc.co.uk/news/world-middle-east-18424988,14.35219955,47.35110092
034 2012,2012-06-01T00:00:00Z,Obama,Drone Strike,Al Mahfad,Abyan,,,11,12,,,,,11,12,12,United States,Compound,AQAP,,"Reuters: http://www.chicagotribune.com/news/sns-rt-us-yemen-dronebre8500q8-20120601,0,5832585.story <br>Xinhua: http://news.xinhuanet.com/english/world/2012-06/01/c_131626216.htm",13.77740002,46.07619858
033 2012,2012-05-28T00:00:00Z,Obama,Drone Strike,Rada'a,Al Bayda,Qaid al-Dahab,"Local al-Qaeda leader, brother-in-law to Anwar al-Awlaki",5,5,,,,,5,5,5,United States,Vehicle,AQAP,"A U.S. drone strike targeted a convoy of vehicles, one of which was carrying local al-Qaeda leader Qaid al-Dahab. But a tribal source told the AFP that al-Dahab, whose sister is the widow of Yemeni-American cleric Anwar al-Awlaki, survived the attack.<br>",Associated Press: http://www.guardian.co.uk/world/2012/may/28/us-drone-strike-yemen-al-qaida<br>AFP: http://english.alarabiya.net/articles/2012/05/28/217054.html<br>AP: http://www.boston.com/news/world/middleeast/articles/2012/05/28/yemen_army_retakes_most_of_al_qaida_stronghold/<br>Al Arabiya: http://english.alarabiya.net/articles/2012/05/28/217054.html,14.416262,44.83894997
