name,old_id,id,tier_ii_plus,tier_ii,tier_i,domestic_production,imports_from,exports_to,lat,lon,desc
Italy,380,ITA,0,0,1,1,United States of America,none,42.88724067,12.62349234,"Italy has domestic production of drones (Hammerhead drones produced by Piaggio Aero Company and Selex ES) and imports from the U.S., including the RQ-1B Reaper drones. Reports indicate that the United States plans to arm Italy's drones, however this request from Rome has gone unfulfilled for nearly 3 years, leading Italy to proceed unilaterally with Black MALE drones production.  Italy has joined with France, Germany, Netherlands, Poland and Spain to create a –drone users club” intended to compete with the Israeli and U.S. drone markets. "
Ivory Coast,384,CIV,0,0,1,0,Israel,none,7.627839044,-5.569010555,The Ivory Coast has imported drones from Israel. They have also sent a request to the U.N. for drones to monitor their border with Liberia.
Japan,392,JPN,0,0,1,1,none,China,36.8805847,139.4093269,"Japan has domestic production of drones. Negotiations are underway to allow for the relocation of U.S. Global Spy Hawk drones to territories within Japan, enabling Japan to share information with the U.S. The Prime Ministerês Cabinet has approved the purchase of 3 drones in a push to build-up the nationês defense.  Japanês Defense Ministry plans to deploy its first Global Hawk in 2015 and will be co-maintained with the U.S. Air Force."
Jordan,400,JOR,0,0,1,0,none,none,31.27502911,36.39188938,"Jordan has domestic production of Drones and co-production of drones with an Italian company. The Jordan Falcon drones, produced as a result of a joint venture between the King Abdullah II Design and Development Bureau and Jordan Aerospace industries, is an unarmed drones capable of reconnaissance, surveillance, and target designation/tracking."
Kazakhstan,398,KAZ,0,0,1,0,"Israel, Russia",none,48.16067093,67.29601258,"Kazakhstan imported the Orbiter drones from Israel in 2008, and has also reportedly imported drones technology from Russia.  Kazakhstan is in talks with the Israeli companies Elbit and IAI to establish a tactical drones manufacturing facility in the country in 2013. Kazakhstan also signed a deal with Sagem in 2010 to jointly produce drones within Kazakhstan; however this agreement has yet to manifest. The Kazakhstan Ministry of Defense purchased 10 Irkut-10 unmanned reconnaissance aircraft systems from the Russian Irkut Corporation and had plans to possibly purchase Irkut 3 drones."
Latvia,428,LVA,0,0,1,1,none,none,56.85176106,24.90912823,"Latvia has domestic production of drones. The Drones Factory is a company within Latvia that is manufacturing drones capable of capturing real time intelligence data. Latviaês production comes from The Drones Factory, which produces the Penguin C, BE, & B Drones. The Penguin B is touted as the current world record endurance holder, operating for a continuous 54.5 hours."
Lebanon,422,LBN,0,0,1,0,United States of America,none,33.92039761,35.88027232,Lebanonês drones were provided by the United States as part of a military aid package
Libya,434,LBY,0,0,1,1,none,none,32.49,13.07,"Libya implementing surveillance and reconnaissance Drones to carry out operations and inspections within the Libyan air force. ,"
Lithuania,440,LTU,0,0,1,0,none,none,54.38,25.19,"Lithuania contributed over $6.5 million to NATOês Alliance Ground Surveillance (AGS) division developed by NATO and set to be put in place by 2015. The NATO AGS is an alliance between 14 nations who will share 5 Global Hawk RQ-4B drones for high altitude reconnaissance and surveillance over large areas of land.,"
Malaysia,458,MYS,0,0,1,1,none,none,4.004447077,108.1746513,"Malaysia has domestic production of drones in co-operation with U.S. companies. Three companies, Composites Technology Research Malaysia (CTRM), Systems Consultancy Sdn Bhd (SCS), and Ikramatic Sdn Bhn, combined and formed the Unmanned Systems Technology Sdn Bhd (UST) to manufacture Malaysian Drones. The Malaysian firm Unmanned Systems Technology began producing Low Altitude Long Endurance and Medium Altitude Long Endurance unmanned aerial vehicles in 2010.  The drone is a joint venture with Adcom Systems, a United Arab Emirates company."
Mexico,484,MEX,0,0,1,1,Israel,none,23.94754633,-102.5270403,"Mexico has domestic production (Hydra Technologies, Mexican Navy Institute for Technology Innovation) of drones and has also imported drones from Israel (Elbit Systems Hermes 450). The status of drones in Morocco is uncertain. General Atomics received an export license to sell an unarmed Predator drones to Morocco but it is unclear whether that deal has been completed The Royal Moroccan Armed Forces announced its pre-production search and development phase of drones for 2014-2015. Reports from French sources indicate that Morocco has purchased at least 3 Israeli drones, the Harfang Medium-altitude, long-endurance drones. "
Morocco,504,MAR,0,0,1,1,none,none,30.78546372,-7.352822163,
Netherlands,528,NLD,0,0,1,1,"France, United States of America, Denmark",none,52.33612442,5.669038978,The Netherlands has domestic production of drones and possible imports of drones from France. They have acquired four MQ-9 Reaper Medium Altitude Long Endurance Drones under the United States Foreign Military Sales Program.  The drones are expected to have full operational capability at the end of 2017.
New Zealand,554,NZL,0,0,1,1,United States of America,none,-41.96212798,173.0323093,"New Zealand has domestic production (Hawkeye drones, Skycam UAV NZ Ltd) of drones and imports drones from the U.S. (General Atomics). A status of force agreement was signed with the United States that allows U.S. troops to be in the country and use drones in the area"
Niger,562,NER,0,0,1,,none,none,17.41846424,9.386034472,
Nigeria,566,NGA,0,0,1,0,Israel,none,10,8,"Nigeria has imported Drones from Israel Domestic production of drones began at the end of 2013 The Nigerian Air Force Institute of Technology (AFIT) produced the Gulma drones, which barely meets the Tier II classification flying at a maximum altitude of 10,000 feet, reaching a top speed of 86 knots and possessing an endurance of 5.8 hours."
Norway,578,NOR,0,0,1,1,none,none,61.26020021,9.078549194,Norway has domestic production (Prox Dynamics) of drones.
Panama,591,PAN,0,0,1,0,United States of America,none,9,79.25,"Panama imported at least four drones from the United States.,"
Pakistan,586,PAK,0,0,1,1,"China, United States of America",none,29.94883006,69.34185214,"Pakistan has domestic production of drones and has imported drones from China, and United States. There has been reported co-production of drones with Italian manufacturers and reported collaboration with China on armed drones. The Pakistani military deployed its first domestically developed drones at the end of 2013.  It was unclear whether or not the drones were armed.  Military officials claimed that the drones are for surveillance only."
Peru,604,PER,0,0,1,1,none,none,-9.851600307,-75.51474036,"Peru has domestic production of drones. The Peruvian army implements drones for surveillance purposes, and the Air Force (Fuerza A_rea del Peru - FAP)."
Philippines,608,PHL,0,0,1,1,Israel,none,11.76338277,122.8747136,The Philippines have domestic production of drones and have imported drones from Israel.  The Philippines Army acknowledged in December of 2013 that they were utilizing drones to conduct reconnaissance missions.  The Department of National Defense announced in December 2013 that they will acquire drones for the Marines.  The DND invited companies from around the world to bid on the project.
Poland,616,POL,0,0,1,1,United States of America,none,52.12467174,19.39445112,"Poland has domestic production of drones and imports drones from U.S. and collaborates with Israel. In August 2012, the Polish government announced that it would be replacing its aging fighter jets with 30 armed drones, which should be in use by 2018."
Portugal,620,PRT,0,0,1,1,none,none,39.55022731,-8.270465604,Portugal has domestic production of drones.
Republic of Serbia,688,SRB,0,0,1,1,none,none,44.5,20.37,Serbia has domestic production of drones.
Romania,642,ROU,0,0,1,1,United States of America,none,45.85341254,24.97309938,Romania has domestic production of drones and has imported drones from the U.S. Romania joined a group of 14 NATO members that will buy 5 drones to be used for ground surveillance and intelligence missions.
Russia,643,RUS,0,0,1,1,Israel,"Belarus, Kazakhstan",61.98347077,96.68898114,"Russia has domestic production of drones, imported drones from Israel, and co-produced drones with Vietnam. Russia is developing its first long range drones capable of conducting ground attack missions; the drone is scheduled for deployment by 2016.NBC News reported that Russia is developing a 20 ton attack drones whose prototype could be ready by 2020. Russia will conduct test flights of a drone aircraft from the United Arab Emirates in early 2014.  The drones will be capable of carrying Namrod air-surface guided missiles."
Singapore,702,,0,0,1,1,Israel,none,1.358790815,103.8137972,Singapore has domestic production of drones and imports from Israel. 
Slovakia,703,SVK,0,0,1,1,Israel,none,48.70493504,19.48038292,Slovakia has domestic production of drones  and is believed to have imports from Israel
Slovenia,705,SVN,0,0,1,1,none,none,46.11613587,14.80813927,Slovenia has domestic production of drones.
South Africa,710,ZAF,0,0,1,1,none,"Algeria, United Arab Emirates",-30.52714279,23.02399051,South Africa has domestic production of drones and exports to Algeria and UAE. South Africa reportedly agreed to help Saudi Arabia develop armed drones in April 2013.
South Korea,410,KOR,0,0,1,1,"Israel, United States of America",none,36.46441371,127.9738728,"South Korea has domestic production of drones. and imports from Israel. They have imported drones and drone technology directly from the U.S.  With a delivery date of between 2017 and 2019, Northrop Grumman plans to export four RQ-4 Block 30 Global Hawk surveillance drones to South Korea."
Spain,724,ESP,0,0,1,1,Israel,none,40.79586712,-3.289231856,"Spain has domestic production of drones and uses Israeli drones in Afghanistan. Spain joined with France, Germany, Greece, Italy, the Netherlands and Poland to create a –drones users club” with the hopes of catching up to United States and Israelês drone capabilities."
Sri Lanka,144,LKA,0,0,1,1,Israel,none,7.615738331,80.7035495,Sri Lanka has domestic production of drones and imports from Israel. 
Sweden,752,SWE,0,0,1,1,none,Vietnam,65.12686249,17.93412497,"Sweden has domestic production of drones in cooperation with companies in Australia, the United States, the United Arab Emirates and others. Sweden participates in the development of the Neuron with France, Spain, Italy, Greece, and Switzerland.  Sweden entered into an agreement with Vietnam to provide drones technology and help in producing drones."
Switzerland,756,CHE,0,0,1,1,none,none,46.79902293,8.2153826,"Switzerland has domestic production of drones. Switzerland also produces drones domestically in cooperation with a German company, and with the other European nations developing the Neuron. Switzerland is contemplating importing drones from Israel."
